broker_id,broker_name_master,city
5960,日茂,南投縣
5961,日茂-埔里,南投縣
5962,日茂-南投,南投縣
6010,犇亞證券,台北市
6012,犇亞-網路,台北市
601d,犇亞-鑫豐,台北市
6110,台中銀,台中市
6114,台中銀-員林,彰化縣
6115,台中銀-台北,台北市
6116,台中銀-高雄,高雄市
611A,台中銀-豐原,台中市
6160,中國信託,台北市
6161,中國信託-三重,新北市
6162,中國信託-忠孝,台北市
6163,中國信託-永康,台南市
6164,中國信託-文心,台中市
6165,中國信託-新竹,新竹市
6167,中國信託-松江,台北市
6168,中國信託-嘉義,嘉義市
616A,中國信託-中壢,桃園市
616K,中國信託-高雄,高雄市
616X,中國信託-國際證券,台北市
6210,新百王,高雄市
6380,光和,彰化縣
6381,光和-溪湖,彰化縣
6382,光和-田中,彰化縣
6383,光和-和美,彰化縣
6385,光和-花壇,彰化縣
638A,光和-嘉義,嘉義縣
638D,光和-高雄,高雄市
6450,永全,桃園市
6451,永全-南崁,桃園市
6452,永全-八德,桃園市
6460,大昌,新北市
6461,大昌-樹林,新北市
6462,大昌-安康,新北市
6463,大昌-新竹,新竹市
6464,大昌-新店,新北市
6465,大昌-桃園,桃園市
6480,福邦,台北市
6489,福邦-新竹,新竹縣
6620,口袋,新北市
6910,德信,台北市
6912,德信-中正,台中市
6913,德信-新營,台南市
6915,德信-和平,台北市
6950,福勝,新北市
7000,兆豐,台北市
7001,兆豐-嘉義,嘉義市
7003,兆豐-台中,台中市
7005,兆豐-台中港,台中縣
7006,兆豐-台南,台南市
7007,兆豐-竹北,新竹縣
7008,兆豐-三重,新北市
700B,兆豐-板橋,台北縣
700C,兆豐-來福,雲林縣
700D,兆豐-西螺,雲林縣
700F,兆豐-虎尾,雲林縣
700G,兆豐-麻豆,台南縣
700H,兆豐-東門,台北市
700I,兆豐-北高雄,高雄市
700J,兆豐-公益,台中市
700K,兆豐-新營,台南市
700L,兆豐-天母,台北市
700M,兆豐-桃園,桃園縣
700N,兆豐-埔墘,新北市
700P,兆豐-南京,台北市
700R,兆豐-小港,高雄市
700S,兆豐-大同,台北市
700U,兆豐-桃鶯,桃園市
700V,兆豐-新竹,新竹市
700W,兆豐-城中,台北市
700X,兆豐-永和,新北市
700Z,兆豐-高雄,高雄市
700a,兆豐-忠孝,台北市
700b,兆豐-中壢,桃園市
700c,兆豐-民生,台北市
700d,兆豐-彰化,彰化縣
700f,兆豐-鹿港,彰化縣
700g,兆豐-南門,台北市
700h,兆豐-三民,高雄市
700i,兆豐-松德,台北市
700j,兆豐-大安,台北市
700k,兆豐-員林,彰化縣
700m,兆豐-國際證券,台北市
700p,兆豐-復興,台北市
700r,兆豐-寶成,台中市
700s,兆豐-岡山,高雄縣
700w,兆豐-新莊,新北市
7030,致和,台南市
7031,致和-台北,台北市
7032,致和-佳里,台南市
7033,致和-府前,台南市
7034,致和-金華,台南市
7035,致和-東門,台北市
7036,致和-高雄,高雄市
7038,致和-南京,台北市
703B,致和-崇德,台南市
7080,石橋,桃園市
7750,北城,新北市
7790,國票,台北市
7791,國票-台東,台東縣
7792,國票-北投,台北市
7795,國票-南港,台北市
7797,國票-中正,高雄市
7798,國票-內壢,桃園市
779D,國票-台南,台南市
779E,國票-南崁,桃園市
779G,國票-新莊,新北市
779H,國票-嘉義,嘉義市
779J,國票-北高雄,高雄市
779P,國票-九鼎,台中市
779V,國票-天祥,高雄市
779W,國票-彰化,彰化縣
779X,國票-中和,新北市
779Z,國票-安和,台北市
779b,國票-國際證券,台北市
779c,國票-敦北法人,台北市
779e,國票-南科,台南市新市
779j,國票-和平,高雄市
779m,國票-中港,台中市
779n,國票-南京,台北市
779r,國票-桃園,桃園市
779u,國票-長城,台北市
779v,國票-台中,台中市
779z,國票-博愛,台北市
8150,台新,台北市
8151,台新-建北,台北市
8152,台新-新莊,新北市
8156,台新-三民,高雄市
8157,台新-左楠,高雄市
8158,台新-松江,台北市
8159,台新-台南,台南市
815A,台新-高雄,高雄市
815B,台新-台中,台中市
815H,台新-屏東,屏東縣
815S,台新-中壢,桃園市
815Y,台新-新營,台南市
815Z,台新-國際證券,台北市
8380,安泰,高雄市
8381,安泰-大發,高雄市
8382,安泰-楠梓,高雄市
8440,摩根大通,台北市
8450,康和,台北市
8451,康和-延平,台北市
8455,康和-台中,台中市
8456,康和-新竹,新竹市
8458,康和-台南,台南市
8459,康和-嘉義,嘉義市
845A,康和-內湖,台北市
845B,康和-永和,新北市
845D,康和-板橋,新北市
845E,康和-澎湖,澎湖縣
845F,康和-仁愛,台北市
845J,康和-高雄,高雄市
845R,康和-石牌,台北市
845S,康和-南崁,桃園市
845U,康和-台北,台北市
845X,康和-屏東,屏東市
845Y,康和-國際證券,台北市
8490,京城,台北市
8492,京城-嘉義,嘉義市
8520,中農,台中市
8560,新光,台北市
8561,新光-台中,台中市
8562,新光-高雄,高雄市
8563,新光-新竹,新竹縣
8564,新光-台南,台南市
8565,新光-桃園,桃園市
