公司代號,公司簡稱,產業別,住址,發言人,實收資本額,已發行普通股數
7805,威聯通,36,新北市汐止區中興路22號2樓,陳怡蓉,"$328,251,010","32,825,101"
7810,捷創科技,24,新竹市東區關新里關新路27號6樓之1,鄭文吉,"$202,500,000","20,250,000"
8024,佑華,24,新竹市光復路2段295號9樓之1,翁啟培,"$451,601,000","45,160,100"
8027,鈦昇,5,高雄市燕巢區橫山路六十一號,林傑倫,"$1,074,805,290","107,480,529"
8032,光菱,29,新北市汐止區新台五路一段79號9樓之7,帥緒廷,"$518,103,000","51,810,300"
8034,榮群,27,新竹科學工業園區工業東九路五號３樓,黃鳳珠,"$565,863,530","56,586,353"
8038,長園科,28,(407)中部科學工業園區台中市西屯區科雅東路9號,張惇育,"$622,781,900","62,278,190"
8040,九暘,24,新竹市光復路2段2巷47號10樓之1,王婉娥,"$964,138,740","96,413,874"
8042,金山電,28,新北市三重區光復路一段六十八巷十一弄一號二樓,陳安琪,"$1,294,625,490","129,462,549"
8043,蜜望實,28,台北市內湖區內湖路1段316號8樓,蔡素卿,"$799,071,700","79,907,170"
8044,網家,36,台北市敦化南路二段105號12樓,林佳慧,"$2,056,470,650","205,647,065"
8047,星雲,31,新北市汐止區福德二路236號4樓-1,方彥凱,"$416,663,430","41,666,343"
8048,德勝,27,台北市南港路三段50巷1號3樓,楊育哲,"$577,057,520","57,705,752"
8049,晶采,26,新北市汐止區新台五路一段116號4樓,陳科宏,"$1,182,798,080","118,279,808"
8050,廣積,25,台北市南港區園區街3號15樓之1,商志宏,"$2,051,780,350","205,178,035"
8054,安國,24,臺北市南港區三重路66號9樓之1,蔡玲君,"$1,057,725,660","105,772,566"
8059,凱碩,27,新北市深坑區北深路三段141巷14號,吳麗美,"$1,938,497,500","193,849,750"
8064,東捷,26,南部科學園區台南市新市區南科六路9號,陳贊仁,"$1,648,178,360","164,817,836"
8066,來思達,38,臺北市內湖區新湖一路86號3樓,丁邦成,"$296,423,040","29,642,304"
8067,志旭,29,新北市三重區新北大道二段260號十四樓,陳紀菁,"$207,000,000","20,700,000"
8068,全達,29,臺北市內湖區內湖路一段360巷15號8樓之1,黃立維,"$807,659,490","80,765,949"
8069,元太,26,新竹市科學園區力行一路3號,陳樂群,"$11,504,762,590","1,150,476,259"
